rank,track_name,artist_name,year
3,the yellow rose of texas,mitch miller,1955
4,autumn leaves,roger williams,1955
5,unchained melody,les baxter,1955
6,the ballad of davy crockett,bill hayes,1955
7,love is a many-splendored thing,the four aces,1955
8,sincerely,the mcguire sisters,1955
9,ain't that a shame,pat boone,1955
10,"the wallflower (dance with me, henry)",georgia gibbs,1955
11,the crazy otto medley,johnny maddox,1955
12,melody of love,billy vaughn,1955
13,sixteen tons,tennessee ernie ford,1955
14,learnin' the blues,frank sinatra,1955
15,hearts of stone,the fontane sisters,1955
16,tweedle dee,georgia gibbs,1955
17,moments to remember,the four lads,1955
18,mr. sandman,the chordettes,1955
19,"let me go, lover!",joan weber,1955
20,a blossom fell,nat king cole,1955
21,unchained melody,al hibbler,1955
22,the ballad of davy crockett,fess parker,1955
23,honey-babe,art mooney,1955
24,the ballad of davy crockett,tennessee ernie ford,1955
25,ko ko mo (i love you so),perry como,1955
26,hard to get,gisele mackenzie,1955
27,the naughty lady of shady lane,the ames brothers,1955
28,that's all i want from you,jaye p. morgan,1955
29,only you (and you alone),the platters,1955
30,it's a sin to tell a lie,somethin' smith and the redheads,1955
1,heartbreak hotel,elvis presley,1956
2,don't be cruel,elvis presley,1956
3,lisbon antigua,nelson riddle,1956
4,my prayer,the platters,1956
5,the wayward wind,gogi grant,1956
6,hound dog,elvis presley,1956
7,the poor people of paris,les baxter,1956
8,"que sera, sera (whatever will be, will be)",doris day,1956
9,memories are made of this,dean martin,1956
10,(the) rock and roll waltz,kay starr,1956
11,moonglow and theme from picnic,morris stoloff,1956
12,the great pretender,the platters,1956
13,i almost lost my mind,pat boone,1956
14,"i want you, i need you, i love you",elvis presley,1956
15,love me tender,elvis presley,1956
16,hot diggity (dog ziggity boom),perry como,1956
17,canadian sunset,eddie heywood,1956
18,blue suede shoes,carl perkins,1956
19,green door,jim lowe,1956
20,"no, not much",the four lads,1956
21,honky tonk,bill doggett,1956
22,sixteen tons,tennessee ernie ford,1956
23,just walkin' in the rain,johnnie ray,1956
24,allegheny moon,patti page,1956
25,i'm in love again,fats domino,1956
26,tonight you belong to me,patience and prudence,1956
27,be-bop-a-lula,gene vincent,1956
28,why do fools fall in love,frankie lymon and the teenagers,1956
29,standing on the corner,the four lads,1956
30,the flying saucer,buchanan,1956
31,moonglow and theme from picnic,george cates,1956
32,ivory tower,cathy carr,1956
33,see you later alligator,bill haley,1956
34,i'll be home,pat boone,1956
35,on the street where you live,vic damone,1956
36,(you've got) the magic touch,the platters,1956
37,born to be with you,the chordettes,1956
38,band of gold,don cherry,1956
39,more,perry como,1956
40,singing the blues,guy mitchell,1956
41,blueberry hill,fats domino,1956
42,the fool,sanford clark,1956
43,the happy whistler,don robertson,1956
44,true love,bing crosby,1956
45,long tall sally,little richard,1956
46,a sweet old fashioned girl,teresa brewer,1956
47,transfusion,nervous norvus,1956
48,it only hurts for a little while,the ames brothers,1956
49,a tear fell,teresa brewer,1956
50,rock island line,lonnie donegan,1956
1,all shook up,elvis presley,1957
2,love letters in the sand,pat boone,1957
3,little darlin',the diamonds,1957
4,young love,tab hunter,1957
5,so rare,jimmy dorsey,1957
6,don't forbid me,pat boone,1957
7,singing the blues,guy mitchell,1957
8,young love,sonny james,1957
9,too much,elvis presley,1957
10,round and round,perry como,1957
11,bye bye love,the everly brothers,1957
12,tammy,debbie reynolds,1957
13,party doll,buddy knox,1957
14,teddy bear,elvis presley,1957
15,day-o (the banana boat song),harry belafonte,1957
16,jailhouse rock,elvis presley,1957
17,a white sport coat (and a pink carnation),marty robbins,1957
18,come go with me,the del-vikings,1957
19,wake up little susie,the everly brothers,1957
20,you send me,sam cooke,1957
21,searchin',the coasters,1957
22,school days,chuck berry,1957
23,gone,ferlin husky,1957
24,diana,paul anka,1957
25,a teenager's romance,ricky nelson,1957
26,the banana boat song,the tarriers,1957
27,honeycomb,jimmie rodgers,1957
28,whole lotta shakin' goin on,jerry lee lewis,1957
29,dark moon,gale storm,1957
30,that'll be the day,the crickets,1957
31,butterfly,charlie gracie,1957
32,moonlight gambler,frankie laine,1957
33,teen-age crush,tommy sands,1957
34,it's not for me to say,johnny mathis,1957
35,silhouettes,the rays,1957
36,butterfly,andy williams,1957
37,marianne,the easy riders,1957
38,i'm walkin',fats domino,1957
39,chances are,johnny mathis,1957
40,send for me,nat king cole,1957
41,rainbow,russ hamilton,1957
42,be-bop baby,ricky nelson,1957
43,short fat fannie,larry williams,1957
44,green door,jim lowe,1957
45,i'm gonna sit right down and write myself a letter,billy williams,1957
46,old cape cod,patti page,1957
47,mr. lee,the bobbettes,1957
48,blueberry hill,fats domino,1957
49,whispering bells,the del-vikings,1957
50,blue monday,fats domino,1957
1,volare (nel blu dipinto di blu),domenico modugno,1958
2,"all i have to do is dream"" / ""claudette",the everly brothers,1958
3,"don't"" / ""i beg of you",elvis presley,1958
4,witch doctor,david seville,1958
5,patricia,perez prado,1958
6,"sail along, silv'ry moon"" / ""raunchy",billy vaughn,1958
7,"catch a falling star"" / ""magic moments",perry como,1958
8,tequila,the champs,1958
9,it's all in the game,tommy edwards,1958
10,return to me,dean martin,1958
11,it's only make believe,conway twitty,1958
12,the purple people eater,sheb wooley,1958
13,"bird dog"" / ""devoted to you",the everly brothers,1958
14,get a job,the silhouettes,1958
15,little star,the elegants,1958
16,twilight time,the platters,1958
17,"stood up"" / ""waitin' in school",ricky nelson,1958
18,he's got the whole world in his hands,laurie london,1958
19,secretly,jimmie rodgers,1958
20,at the hop,danny,1958
21,yakety yak,the coasters,1958
22,"wear my ring around your neck"" / ""doncha' think it's time",elvis presley,1958
23,"rockin' robin"" / ""over and over",bobby day,1958
24,poor little fool,ricky nelson,1958
25,"a wonderful time up there"" / ""it's too soon to know",pat boone,1958
26,just a dream,jimmy clanton,1958
27,sugartime,the mcguire sisters,1958
28,tom dooley,the kingston trio,1958
29,sweet little sixteen,chuck berry,1958
30,"topsy ii"" / ""topsy i",cozy cole,1958
31,"looking back"" / ""do i like it",nat king cole,1958
32,book of love,the monotones,1958
33,tea for two cha cha,tommy dorsey orchestra,1958
34,tears on my pillow,little anthony and the imperials,1958
35,short shorts,the royal teens,1958
36,great balls of fire,jerry lee lewis,1958
37,lollipop,the chordettes,1958
38,splish splash,bobby darin,1958
39,who's sorry now?,connie francis,1958
40,"my true love"" / ""leroy",jack scott,1958
41,endless sleep,jody reynolds,1958
42,do you want to dance?,bobby freeman,1958
43,when,the kalin twins,1958
44,to know him is to love him,the teddy bears,1958
45,april love,pat boone,1958
46,rebel-'rouser,duane eddy,1958
47,oh julie,the crescendos,1958
48,the stroll,the diamonds,1958
49,"hard headed woman"" / ""don't ask me why",elvis presley,1958
50(Tie),peggy sue,buddy holly,1958
50(Tie),oh lonesome me,don gibson,1958
1,the battle of new orleans,johnny horton,1959
2,mack the knife,bobby darin,1959
3,personality,lloyd price,1959
4,venus,frankie avalon,1959
5,lonely boy,paul anka,1959
6,dream lover,bobby darin,1959
7,the three bells,the browns,1959
8,come softly to me,the fleetwoods,1959
9,kansas city,wilbert harrison,1959
10,mr. blue,the fleetwoods,1959
11,sleep walk,santo,1959
12,put your head on my shoulder,paul anka,1959
13,stagger lee,lloyd price,1959
14,donna,ritchie valens,1959
15,pink shoe laces,dodie stevens,1959
16,smoke gets in your eyes,the platters,1959
17,charlie brown,the coasters,1959
18,quiet village,martin denny,1959
19,my heart is an open book,carl dobkins jr.,1959
20,(till) i kissed you,the everly brothers,1959
21,sea of love,phil phillips,1959
22,the happy organ,dave cortez,1959
23,i'm gonna get married,lloyd price,1959
24,sorry (i ran all the way home),the impalas,1959
25,a teenager in love,dion and the belmonts,1959
26,16 candles,the crests,1959
27,it's just a matter of time,brook benton,1959
28,lipstick on your collar,connie francis,1959
29,there goes my baby,the drifters,1959
30,a big hunk o' love,elvis presley,1959
31,red river rock,johnny and the hurricanes,1959
32,waterloo,stonewall jackson,1959
33,lavender's blue,sammy turner,1959
34,(now and then there's) a fool such as i,elvis presley,1959
35,guitar boogie shuffle,the virtues,1959
36,teen beat,sandy nelson,1959
37,"kookie, kookie (lend me your comb)",edd byrnes,1959
38,tragedy,thomas wayne,1959
39,my happiness,connie francis,1959
40,tallahassee lassie,freddy cannon,1959
41,tiger,fabian,1959
42,never be anyone else but you,ricky nelson,1959
43,don't you know?,della reese,1959
44,i need your love tonight,elvis presley,1959
45,what a diff'rence a day makes,dinah washington,1959
46,the all american boy,bill parsons,1959
47,primrose lane,jerry wallace,1959
48,alvin's harmonica,the chipmunks,1959
49,lonely street,andy williams,1959
50,what'd i say,ray charles,1959
51,broken hearted melody,sarah vaughan,1959
52,only you (and you alone),franck pourcel,1959
53,gotta travel on,billy grammer,1959
54,poison ivy,the coasters,1959
55,turn me loose,fabian,1959
56,lonely teardrops,jackie wilson,1959
57,hawaiian wedding song,andy williams,1959
58,forty miles of bad road,duane eddy,1959
59,just ask your heart,frankie avalon,1959
60,tell him no,travis and bob,1959
61,frankie,connie francis,1959
62,i've had it,the bell notes,1959
63,i cried a tear,lavern baker,1959
64,enchanted,the platters,1959
65,since i don't have you,the skyliners,1959
66,peter gunn theme,ray anthony,1959
67,the chipmunk song (christmas don't be late),the chipmunks,1959
68,i want to walk you home,fats domino,1959
69,so fine,the fiestas,1959
70,bobby sox to stockings,frankie avalon,1959
71,the deck of cards,wink martindale,1959
72,a lover's question,clyde mcphatter,1959
73,i only have eyes for you,the flamingos,1959
74,it's late,ricky nelson,1959
75,petite fleur,chris barber's jazz band,1959
76,tall paul,annette funicello,1959
77,the tijuana jail,the kingston trio,1959
78,just a little too much,ricky nelson,1959
79,goodbye baby,jack scott,1959
80,along came jones,the coasters,1959
81,three stars,tommy dee,1959
82,a boy without a girl,frankie avalon,1959
83,sweeter than you,ricky nelson,1959
84,it was i,skip,1959
85,"goodbye jimmy, goodbye",kathy linden,1959
86,manhattan spiritual,reg owen orchestra,1959
87,endlessly,brook benton,1959
88,heartaches by the number,guy mitchell,1959
89,sea cruise,frankie ford,1959
90,that's why (i love you so),jackie wilson,1959
91,you're so fine,the falcons,1959
92,kissin' time,bobby rydell,1959
93,my wish came true,elvis presley,1959
94,morgen,ivo robiä,1959
95,baby talk,jan and dean,1959
96,take a message to mary,the everly brothers,1959
97,the battle hymn of the republic,mormon tabernacle choir,1959
98,bongo rock,preston epps,1959
99,in the mood,ernie fields,1959
100,seven little girls sitting in the back seat,paul evans,1959
1,theme from a summer place,percy faith,1960
2,he'll have to go,jim reeves,1960
3,cathy's clown,the everly brothers,1960
4,running bear,johnny preston,1960
5,teen angel,mark dinning,1960
6,i'm sorry,brenda lee,1960
7,it's now or never,elvis presley,1960
8,handy man,jimmy jones,1960
9,stuck on you,elvis presley,1960
10,the twist,chubby checker,1960
11,everybody's somebody's fool,connie francis,1960
12,wild one,bobby rydell,1960
13,greenfields,the brothers four,1960
14,what in the world's come over you,jack scott,1960
15,el paso,marty robbins,1960
16,alley oop,the hollywood argyles,1960
17,my heart has a mind of its own,connie francis,1960
18,sweet nothin's,brenda lee,1960
19,itsy bitsy teenie weenie yellow polka dot bikini,brian hyland,1960
20,only the lonely,roy orbison,1960
21,where or when,dion and the belmonts,1960
22,sixteen reasons,connie stevens,1960
23,puppy love,paul anka,1960
24,why,frankie avalon,1960
25,"walk, don't run",the ventures,1960
26,save the last dance for me,the drifters,1960
27,baby (you've got what it takes),dinah washington,1960
28,sink the bismarck,johnny horton,1960
29,chain gang,sam cooke,1960
30,let it be me,the everly brothers,1960
31,good timin',jimmy jones,1960
32,beyond the sea,bobby darin,1960
33,"go, jimmy, go",jimmy clanton,1960
34,night,jackie wilson,1960
35,burning bridges,jack scott,1960
36,the big hurt,toni fisher,1960
37,because they're young,duane eddy,1960
38,lonely blue boy,conway twitty,1960
39,pretty blue eyes,steve lawrence,1960
40,way down yonder in new orleans,freddy cannon,1960
41,paper roses,anita bryant,1960
42,mr. custer,larry verne,1960
43,i want to be wanted,brenda lee,1960
44,mule skinner blues,the fendermen,1960
45,cradle of love,johnny preston,1960
46,you got what it takes,marv johnson,1960
47,"please help me, i'm falling",hank locklin,1960
48,love you so,ron holden,1960
49,finger poppin' time,hank ballard,1960
50,harbor lights,the platters,1960
51,let the little girl dance,billy bland,1960
52,he'll have to stay,jeanne black,1960
53,theme from the apartment,ferrante,1960
54,volare,bobby rydell,1960
55,a million to one,jimmy charles,1960
56,the village of st. bernadette,andy williams,1960
57,white silver sands,bill black's combo,1960
58,the old lamp-lighter,the browns,1960
59,devil or angel,bobby vee,1960
60,down by the station,the four preps,1960
61,forever,the little dippers,1960
62,image of a girl,the safaris,1960
63,kiddio,brook benton,1960
64,mission bell,donnie brooks,1960
65,i love the way you love,marv johnson,1960
66,it's time to cry,paul anka,1960
67,tell laura i love her,ray peterson,1960
68,mama,connie francis,1960
69,footsteps,steve lawrence,1960
70,so sad,the everly brothers,1960
71,that's all you gotta do,brenda lee,1960
72,walking to new orleans,fats domino,1960
73,among my souvenirs,connie francis,1960
74,swingin' school,bobby rydell,1960
75,a rockin' good way (to mess around and fall in love),dinah washington,1960
76,stairway to heaven,neil sedaka,1960
77,my home town,paul anka,1960
78,georgia on my mind,ray charles,1960
79,cherry pie,skip and flip,1960
80,wonderful world,sam cooke,1960
81,tracy's theme,spencer ross,1960
82,lady luck,lloyd price,1960
83,step by step,the crests,1960
84,happy-go-lucky me,paul evans,1960
85,young emotions,ricky nelson,1960
86,dreamin',johnny burnette,1960
87,poetry in motion,johnny tillotson,1960
88,o dio mio,annette funicello,1960
89,you talk too much,joe jones,1960
90,beatnik fly,johnny and the hurricanes,1960
91,when will i be loved,the everly brothers,1960
92,let's think about living,bob luman,1960
93,heartaches by the number,guy mitchell,1960
94,my little corner of the world,anita bryant,1960
95,doggin' around,jackie wilson,1960
96,little bitty girl,bobby rydell,1960
97,money (that's what i want),barrett strong,1960
98,stay,maurice williams and the zodiacs,1960
99,lonely weekends,charlie rich,1960
100,sandy,larry hall,1960
1,tossin' and turnin',bobby lewis,1961
2,i fall to pieces,patsy cline,1961
3,michael,the highwaymen,1961
4,crying,roy orbison,1961
5,runaway,del shannon,1961
6,my true story,the jive five,1961
7,pony time,chubby checker,1961
8,wheels,the string-a-longs,1961
9,raindrops,dee clark,1961
10,wooden heart,joe dowell,1961
11,calcutta,lawrence welk,1961
12,take good care of my baby,bobby vee,1961
13,running scared,roy orbison,1961
14,dedicated to the one i love,the shirelles,1961
15,last night,the mar-keys,1961
16,will you love me tomorrow,the shirelles,1961
17,exodus,ferrante,1961
18,where the boys are,connie francis,1961
19,hit the road jack,ray charles,1961
20,sad movies (make me cry),sue thompson,1961
21,mother-in-law,ernie k-doe,1961
22,bristol stomp,the dovells,1961
23,travelin' man,ricky nelson,1961
24,shop around,the miracles,1961
25,the boll weevil song,brook benton,1961
26,a hundred pounds of clay,gene mcdaniels,1961
27,the mountain's high,dick and dee dee,1961
28,don't worry,marty robbins,1961
29,on the rebound,floyd cramer,1961
30,portrait of my love,steve lawrence,1961
31,quarter to three,gary u.s. bonds,1961
32,"who put the bomp (in the bomp, bomp, bomp)",barry mann,1961
33,calendar girl,neil sedaka,1961
34,i like it like that,chris kenner,1961
35,apache,jí¸rgen ingmann,1961
36,don't bet money honey,linda scott,1961
37,without you,johnny tillotson,1961
38,wings of a dove,ferlin husky,1961
39,little sister,elvis presley,1961
40,blue moon,the marcels,1961
41,daddy's home,shep and the limelites,1961
42,this time,troy shondell,1961
43,(i don't know why) but i do,"clarence ""frogman"" henry",1961
44,asia minor,kokomo,1961
45,hello walls,faron young,1961
46,runaround sue,dion,1961
47,yellow bird,arthur lyman,1961
48,hurt,timi yuro,1961
49,hello mary lou,ricky nelson,1961
50,there's a moon out tonight,the capris,1961
51,surrender,elvis presley,1961
52,i love how you love me,the paris sisters,1961
53,ya ya,lee dorsey,1961
54,school is out,gary u.s. bonds,1961
55,mexico,bob moore,1961
56,you don't know what you've got (until you lose it),ral donner,1961
57,walk right back,the everly brothers,1961
58,the way you look tonight,the lettermen,1961
59,moody river,pat boone,1961
60,one mint julep,ray charles,1961
61,take good care of her,adam wade,1961
62,gee whiz (look at his eyes),carla thomas,1961
63,stand by me,ben e. king,1961
64,spanish harlem,ben e. king,1961
65,it's gonna work out fine,ike and tina turner,1961
66,baby blue,the echoes,1961
67,baby sittin' boogie,buzz clifford,1961
68,hats off to larry,del shannon,1961
69,those oldies but goodies,little caesar,1961
70,the fly,chubby checker,1961
71,(marie's the name) his latest flame,elvis presley,1961
72,wonderland by night,bert kaempfert,1961
73,bless you,tony orlando,1961
74,i've told every little star,linda scott,1961
75,one track mind,bobby lewis,1961
76,angel baby,rosie and the originals,1961
77,pretty little angel eyes,curtis lee,1961
78,think twice,brook benton,1961
79,does your chewing gum lose its flavour (on the bedpost overnight?),lonnie donegan,1961
80,breakin' in a brand new broken heart,connie francis,1961
81,mama said,the shirelles,1961
82,let the four winds blow,fats domino,1961
83,the writing on the wall,adam wade,1961
84,my kind of girl,matt monro,1961
85,"tonight my love, tonight",paul anka,1961
86,san antonio rose,floyd cramer,1961
87,big bad john,jimmy dean,1961
88,good time baby,bobby rydell,1961
89,rubber ball,bobby vee,1961
90,missing you,ray peterson,1961
91,dum dum,brenda lee,1961
92,i'm gonna knock on your door,eddie hodges,1961
93,you can depend on me,brenda lee,1961
94,let's twist again,chubby checker,1961
95,take five,the dave brubeck quartet,1961
96,are you lonesome tonight?,elvis presley,1961
97,sea of heartbreak,don gibson,1961
98,more money for you and me,the four preps,1961
99,you must have been a beautiful baby,bobby darin,1961
100,please stay,the drifters,1961
1,stranger on the shore,acker bilk,1962
2,i can't stop loving you,ray charles,1962
3,mashed potato time,dee dee sharp,1962
4,roses are red (my love),bobby vinton,1962
5,the stripper,david rose,1962
6,johnny angel,shelley fabares,1962
7,the loco-motion,little eva,1962
8,let me in,the sensations,1962
9,the twist,chubby checker,1962
10,soldier boy,the shirelles,1962
11,hey! baby,bruce channel,1962
12,the wanderer,dion,1962
13,duke of earl,gene chandler,1962
14,palisades park,freddy cannon,1962
15,breaking up is hard to do,neil sedaka,1962
16,wolverton mountain,claude king,1962
17,slow twistin',chubby checker,1962
18,it keeps right on a-hurtin',johnny tillotson,1962
19,the one who really loves you,mary wells,1962
20,good luck charm,elvis presley,1962
21,midnight in moscow,kenny ball,1962
22,sheila,tommy roe,1962
23,twistin' the night away,sam cooke,1962
24,the wah-watusi,the orlons,1962
25,peppermint twist,joey dee and the starliters,1962
26,break it to me gently,brenda lee,1962
27,playboy,the marvelettes,1962
28,ramblin' rose,nat king cole,1962
29,sealed with a kiss,brian hyland,1962
30,she cried,jay and the americans,1962
31,don't break the heart that loves you,connie francis,1962
32,dear lady twist,gary u.s. bonds,1962
33,norman,sue thompson,1962
34,love letters,ketty lester,1962
35,party lights,claudine clark,1962
36,cotton fields,the highwaymen,1962
37,alley cat,bent fabric,1962
38,twist and shout,the isley brothers,1962
39,theme from dr. kildare (three stars will shine tonight),richard chamberlain,1962
40,tuff,ace cannon,1962
41,lover please,clyde mcphatter,1962
42,i know (you don't love me no more),barbara george,1962
43,young world,ricky nelson,1962
44,baby it's you,the shirelles,1962
45,speedy gonzales,pat boone,1962
46,a little bitty tear,burl ives,1962
47,crying in the rain,the everly brothers,1962
48,al di lí,emilio pericoli,1962
49,shout! shout! (knock yourself out),ernie maresca,1962
50,what's your name,don and juan,1962
51,smoky places,the corsairs,1962
52,having a party,sam cooke,1962
53,green onions,booker t.,1962
54,you don't know me,ray charles,1962
55,sherry,the four seasons,1962
56,johnny get angry,joanie sommers,1962
57,can't help falling in love,elvis presley,1962
58,shout,joey dee and the starliters,1962
59,rinky dink,"dave ""baby"" cortez",1962
60,moon river,henry mancini,1962
61,ahab the arab,ray stevens,1962
62,things,bobby darin,1962
63,(the man who shot) liberty valance,gene pitney,1962
64,you belong to me,the duprees,1962
65,dream baby (how long must i dream),roy orbison,1962
66,snap your fingers,joe henderson,1962
67,lovers who wander,dion,1962
68,let's dance,chris montez,1962
69,cindy's birthday,johnny crawford,1962
70,you beat me to the punch,mary wells,1962
71,you'll lose a good thing,barbara lynn,1962
72,uptown,the crystals,1962
73,everybody loves me but you,brenda lee,1962
74,patches,dickey lee,1962
75,venus in blue jeans,jimmy clanton,1962
76,love me warm and tender,paul anka,1962
77,teen age idol,rick nelson,1962
78,she's got you,patsy cline,1962
79,dear one,larry finnegan,1962
80,her royal majesty,james darren,1962
81,old rivers,walter brennan,1962
82,funny way of laughin',burl ives,1962
83,a swingin' safari,billy vaughn,1962
84,tell me,dick and dee dee,1962
85,pt-109,jimmy dean,1962
86,little diane,dion,1962
87,percolator (twist),billy joe and the checkmates,1962
88,"twist, twist senora",gary u.s. bonds,1962
89,twistin' matilda,jimmy soul,1962
90,gravy (for my mashed potatoes),dee dee sharp,1962
91,walk on the wild side,jimmy smith,1962
92,soul twist,king curtis,1962
93,i'll never dance again,bobby rydell,1962
94,i'm blue (the gong-gong song),the ikettes,1962
95,where have all the flowers gone?,the kingston trio,1962
96,"(girls, girls, girls) made to love",eddie hodges,1962
97,town without pity,gene pitney,1962
98,if i had a hammer,"peter, paul and mary",1962
99,i wish that we were married,ronnie,1962
100,surfin' safari,the beach boys,1962
1,surfin' u.s.a.,the beach boys,1963
2,the end of the world,skeeter davis,1963
3,rhythm of the rain,the cascades,1963
4,he's so fine,the chiffons,1963
5,blue velvet,bobby vinton,1963
6,hey paula,paul,1963
7,fingertips,little stevie wonder,1963
8,can't get used to losing you,andy williams,1963
9,my boyfriend's back,the angels,1963
10,sukiyaki,kyu sakamoto,1963
11,so much in love,the tymes,1963
12,"puff, the magic dragon","peter, paul",1963
13,blowin' in the wind,"peter, paul",1963
14,wipe out,the surfaris,1963
15,i love you because,al martino,1963
16,wild weekend,the rebels,1963
17,you're the reason i'm living,bobby darin,1963
18,walk like a man,the four seasons,1963
19,mockingbird,inez,1963
20,i will follow him,little peggy march,1963
21,pipeline,the chantays,1963
22,surf city,jan,1963
23,it's my party,lesley gore,1963
24,blame it on the bossa nova,eydie gormé,1963
25,you can't sit down,the dovells,1963
26,heat wave,martha and the vandellas,1963
27,denise,randy,1963
28,walk right in,the rooftop singers,1963
29,if you wanna be happy,jimmy soul,1963
